post_title,post_url,likes,post_year,post_month,comment_body,comment_likes,comment_year,comment_month,source,place,review_count,helpful_votes,date_exp,month_exp,year_exp
"First soup was great, scond was really really bad",https://www.sitejabber.com/reviews/costco.com#2599,0,2025,February,Costco has some of the best products and I am there every week. I picked up some Creamy Chicken Rice soup Gluten Free last couple of month that was a absolutely great and I wanted to serve it at a party. I went back to pick up some more and they had a Gluten Free Chicken soup which I had to buy to serve. Everyone including me thought it was so so bad that we threw away. When you have something that is great why would you put something that bad in place of it.,"Date of experience: January 30, 2025",2025.0,January,sitejabber,New York,1,0,2025-01-30,January,2025.0
Costco calls cops on gold buyer,https://www.sitejabber.com/reviews/costco.com#2592,0,2024,September,"Wanted a refund on my membership that is a 100% guarantee and was denied. The staff walked away from me after harassing me to sign a form and called the cops.
Costco then tells my purchases to the police so that it stays in a police report that anyone can view now
Melissa Osgood decided to state to the cops that I was verbally abusing her at the Roseville Michigan store. The video recording does not have any verbal abuse
I was only trespassed for not signing a form. Melissa Osgood trespassed me for not signing a form
They denied me a tire warranty service after I got a screw in my tire.
Omar Nezami the guy who gloats they pay him so well he can flat out buy a Mercedes offers me $200. It's great to know they pay him so well but offer me petty change after using the cops as a weapon on me.
I only wonder if telling the police I was a Hispanic creating a disturbance was only to try and get a faster response. Really odd to have 6 cops to come so fast
IF YOU BUY GOLD HERE BEWARE AS THEY TOLD 2 GOVERNMENT AGENCIES THAT I DID","Date of experience: September 9, 2024",2024.0,September,sitejabber,Michigan,2,35,2024-09-09,September,2024.0
Costly Delivery Dilemma,https://www.sitejabber.com/reviews/costco.com#2574,0,2024,April,"Costco's delivery service left me feeling cheated and frustrated. Despite paying extra for expedited shipping, my order arrived a week later than promised. Attempts to seek assistance from customer service were met with long wait times and vague responses. If you're looking for reliable delivery, Costco isn't the answer.","Date of experience: April 26, 2024",2024.0,April,sitejabber,Armenia,27,11,2024-04-26,April,2024.0
A Shopper's Paradise at Costco,https://www.sitejabber.com/reviews/costco.com#2571,0,2024,April,"Shopping at Costco is always a delight, thanks to its unbeatable selection, quality products, and fantastic value. Whether I'm stocking up on pantry essentials, shopping for electronics, or browsing through the latest deals, Costco never fails to impress. The warehouse format allows me to explore a wide range of products under one roof, while the bulk packaging ensures that I get more bang for my buck. I appreciate Costco's commitment to offering high-quality brands and its focus on customer satisfaction, as evidenced by its generous return policy and excellent customer service. With affordable prices and a treasure trove of goodies, Costco has become my go-to destination for all my shopping needs.","Date of experience: April 22, 2024",2024.0,April,sitejabber,Armenia,28,0,2024-04-22,April,2024.0
Sam's is Superior to Costco,https://www.sitejabber.com/reviews/costco.com#2577,0,2024,April,"I no longer believe Costco is superior to Sam's. I was initially thrilled when Costco opened a store near my location, but my excitement was short-lived as I discovered a few things. Firstly, Costco's website is horrible! It has to be one of the worst, if not the worst, websites I've ever encountered. It is not user-friendly at all. Secondly, Costco does not have self-check-out like Sam's. In fact, I can use my phone to scan my items without getting in the self-checkout line. And lastly, and maybe most importantly, Sam's is less expensive than Costco.","Date of experience: April 30, 2024",2024.0,April,sitejabber,Maryland,4,16,2024-04-30,April,2024.0
Shameful,https://www.sitejabber.com/reviews/costco.com#2547,0,2024,March,"Left front door OPEN, lights on, and snuck away so they didn't have to install or haul away. Absolutely disgusting company practice! Taking advantage of less fortunate family's. Costco refused to refund my money since I'm doing the haul away and the install myself with help from the neighbor.",,,,sitejabber,Colorado,1,0,,,
Racism,https://www.sitejabber.com/reviews/costco.com#2586,0,2024,May,"The branch manager is the problem at this location. Today I experienced an example of blatant racism. It was raining and I decided to get a piece of pizza on my way out. A black man was in front of me and ordered a piece of pizza and ice cream. I am caucasian. He asked the clerk for a top for his ice cream 3 times. The clerk was 2 feet away and it was obvious he heard him, but he ignored him. I told the man my order was coming up and I would get him a top. The clerk called my number. I stepped up and said, ""first get this gentleman a top for his ice cream"". The clerk glared at me, grabbed a top and slid it across the counter to the man. He left my pizza where it was and I had to reach to get it. This isn't my first bad experience at this Costco.","Date of experience: May 23, 2024",2024.0,May,sitejabber,Tennessee,2,1,2024-05-23,May,2024.0
Well,https://www.sitejabber.com/reviews/costco.com#2559,0,2024,March,"I've had consistently positive experiences with the Costco Pharmacy. The pharmacists are knowledgeable and attentive, and the prescription fill times are usually fast, even during peak hours. I appreciate the convenience of being able to refill prescriptions online or via the Costco app. Plus, the prices for medications are often significantly lower compared to other pharmacies, making Costco my pharmacy of choice.","Date of experience: March 28, 2024",2024.0,March,sitejabber,Armenia,7,1,2024-03-28,March,2024.0
Costco Bakery,https://www.sitejabber.com/reviews/costco.com#2556,0,2024,March,"The Costco Bakery never disappoints with its delicious and affordable baked goods. Whether it's their famous sheet cakes, fresh bread, or decadent pastries, everything is made with high-quality ingredients and baked to perfection. The prices are unbeatable, and the portions are generous. I always make sure to pick up something from the Costco Bakery during my shopping trips.","Date of experience: March 28, 2024",2024.0,March,sitejabber,Armenia,12,1,2024-03-28,March,2024.0
Horrible company for any appliance!,https://www.sitejabber.com/reviews/costco.com#1975,0,2023,February,"Buy a product with installation and it won't be installed! Call the CEO, Craig Jelinek, and tell him what crap this company is! Or spend Time holding on the phone and talking to India and then returning the product! Shop elsewhere if you are smart.","Date of experience: February 9, 2023",2023.0,February,sitejabber,California,1,0,2023-02-09,February,2023.0
Optical Dept,https://www.sitejabber.com/reviews/costco.com#1990,0,2023,February,"I bought 2 frames and lenses. I was told they will arrive in a week to wait for a phone call. To make sure both glasses came in due to 2 seperate invoices.
I have been calling fir 3 days. Phone just rings rings rings. Finally after I get someone on the phone, glasses been there for 7 days. I got no phone call informing me of their arrival, not even an apology. The guy just said they are in for pick up.
No customer service skills should not be
Working with customers.","Date of experience: February 20, 2023",2023.0,February,sitejabber,North Carolina,1,0,2023-02-20,February,2023.0
Cashing Costco checks,https://www.sitejabber.com/reviews/costco.com#2062,0,2023,April,Good luck if you got a refund from Costco for over $1000. It is a major of affair to try to get it cashed. They took my coupon off to some office and say that they're bringing out a check. They will give me no idea on how long it takes to get the check.,"Date of experience: April 28, 2023",2023.0,April,sitejabber,Florida,1,0,2023-04-28,April,2023.0
I've been recommending Costco pharmacy for nearly 10...,https://www.sitejabber.com/reviews/costco.com#2,0,2010,July,"I've been recommending Costco pharmacy for nearly 10 years to family, friends, co-workers, health care practitioners and persons waiting in line at queue at the bank, post office and grocery store.
Costco has consistently, reliably, promptly, accurately and economically filled and refilled my prescriptions that entire time. I'm vastly more satisfied and impressed with Costco than Walmart, Walgreens, CVS/Albertson's, Safeway or Target.
The generics they provide are consistent for years at a time, avoiding the variations and issues that can arise among generic manufacturers.
Fulfillment is much faster than promised. The claimed processing time is 4 days, with 6-day shipping at no additional charge. Products consistently arrive in 5 days total, occasionally less.
Prices are competitive with any online supplier, and usually lower than any of the brick-and-mortar pharmacies.","Date of experience: July 20, 2010",2010.0,July,sitejabber,Washington,1,3,2010-07-20,July,2010.0
They never fail to live up to their reputation.,https://www.sitejabber.com/reviews/costco.com#122,0,2015,March,,"Date of experience: March 10, 2015",2015.0,March,sitejabber,Minnesota,10,35,2015-03-10,March,2015.0
Top,https://www.sitejabber.com/reviews/costco.com#2553,0,2024,March,"Costco offers incredible value for families and individuals alike. The bulk buying options save both time and money, and the Kirkland Signature brand provides quality at a fraction of the cost. The food court's delicious and affordable meals are an added bonus. However, the membership fee may deter some shoppers","Date of experience: March 21, 2024",2024.0,March,sitejabber,Ohio,8,0,2024-03-21,March,2024.0
Costco sells fake products,https://www.sitejabber.com/reviews/costco.com#2517,0,2024,February,"As I noticed by the years, whatever I bought in Costco was with some issues. By example, toilet paper is not the same quality as use to be for whole rolls.
Taquitos rolls come with two boxes. One of them is always staffed with chicken, other one there is no chicken at all.
Clothes are almost every time I purchased, miss measurement.
Definitely,it's not store for the people who know products quality.","Date of experience: February 5, 2024",2024.0,February,sitejabber,Illinois,1,0,2024-02-05,February,2024.0
Pharmcy Complaint,https://www.sitejabber.com/reviews/costco.com#2514,0,2024,February,"Costco pharmacy at Seminole, Florida sold me dangerous artheritis pain ointment that damage organs and kill. Name: Diclofenac Sodium gel. I complained to the pharmacy. They ignored me.
Dr. Adel Khalifa",,,,sitejabber,Florida,1,0,,,
Treadmill home delivery set up and installation,https://www.sitejabber.com/reviews/costco.com#1389,0,2021,June,"Treadmill home delivery set up and install. Treadmill was damaged out of the box, so it was returned. Great service so far.
The issue arose when I was told to call Costco Logistics and had to wait on hold for 2 hours. You read that right, 2 hours! Who does that?
Anyway, they are supposed to be delivering it in the future, even though it's not in their warehouse yet. They told me I could always call back and reschedule after they received it in their warehouse. I am hoping 2 weeks is long enough for them to get it delivered. I will NEVER call them again. 2 hours on hold, cannot believe it. This is awful.
I want to know if any of Costco's executives would wait on hold for 2 hours in order to do business with a company.
They should shake loose with the change and hire more people to man their phones.
Shame on you, Costco.","Date of experience: June 1, 2021",2021.0,June,sitejabber,New Jersey,1,1,2021-06-01,June,2021.0
Messed up delivery and poor customer service,https://www.sitejabber.com/reviews/costco.com#1612,0,2022,April,"I ordered a washer and dryer that was supposed to be delivered April 8. I get notified the day of delivery that one of the appliances was damaged in transit. They were not able to ship out a replacement order until Apr 22. All they gave me for 2 weeks of dirty clothes was $25 for the ""missed delivery"". Terrible service, unlikely to buy appliances from Costco again.","Date of experience: April 22, 2022",2022.0,April,sitejabber,California,1,1,2022-04-22,April,2022.0
Lied about order,https://www.sitejabber.com/reviews/costco.com#2481,0,2024,January,Ordered tires. One week later Costco cancels order by email. They actually were not in stock although they told me they were. They are not really sure why took a week to figure that out. Now other places I looked at for tires are also out. Unable to leave voice review after call with customer service.,"Date of experience: January 12, 2024",2024.0,January,sitejabber,Pennsylvania,1,1,2024-01-12,January,2024.0
Terrible customer service,https://www.sitejabber.com/reviews/costco.com#969,0,2017,October,"I purchased a mattress set and Costco's white-glove delivery from Costco.com on June 23. When the product finally arrived on July 27 it was severely damaged, so I refused it. The delivery people also saw the damage and made a note of it on their paperwork before putting the damaged mattress set back on their truck. On August 3, I received an email from Costco.com saying they would begin the credit process. It is now October 3 and I still have no refund. I have complained several times in the last two months, and each time they reply that it will be 3-5 days before I receive my refund.",,,,sitejabber,Hawaii,2,2,,,
Don't buy a mattress from Costco.com!,https://www.sitejabber.com/reviews/costco.com#1368,0,2021,February,"Purchased a mattress from Costco.com last month and it was a genuine nightmare! Delivery men dropped off a mattress that was obviously damaged with a five inch tear right on top in plain view. They then never informed me of the problem and even managed to damage the paint on the molding of our stairs on their way to place the mattress in our master bedroom. The customer service we received once we reported the problem was horrible, and in the end Costco finally told us our mattress was now out of stock and discontinued... like so many products they offer. In the end, Costco did what was best for them and they could care less if we were satisfied. We will never buy anything from Costco.com again.",,,,sitejabber,Illinois,1,5,,,
Non Accessible login 15 minute customer service wait timr,https://www.sitejabber.com/reviews/costco.com#1360,0,2021,January,"Been a member of Costco for 25 years!
Costco.com does not respond to my current Executive membership id#, customer service hold time longer than 15 minutes. Called three times to place an order and obtain pricing since website login not working. My membership is current. Trying to obtain member pricing to place large order. I give up! I ordered my equipment through eBay & Amazon.
Membership pricing should be displayed, my thoughts. Waste of time.",,,,sitejabber,Tennessee,1,6,,,
I'm not a thief. Just a paying Customer.,https://www.sitejabber.com/reviews/costco.com#2493,0,2024,January,"Costco's practice of insisting on presenting your membership card before even entering the check out line and then again upon exiting their 'warehouse' along with proof of receipt is, in my opinion, counterproductive to showing appreciation to valued customers and frankly could almost be viewed as discriminatory. It's like stereotyping all their customers as a bunch of thieves. I'll take my business elsewhere, where a feel more welcomed and like a valued customer after dropping my wad a cash. The only people who I believe appreciate this treatment are the two employees who get paid to do this asinine job!","Date of experience: January 17, 2024",2024.0,January,sitejabber,Ohio,1,0,2024-01-17,January,2024.0
Worm in romain lettuce!,https://www.sitejabber.com/reviews/costco.com#2200,0,2023,July,"I bought a big bag of romain lettuce, my boyfriend got sick as a dog plus there's a huge worm in the lettuce! I'm sick to my stomach! I was scared when I saw it before preparing it. Awful and disgusting! Never buying there again! Yukkkkkkkkkk, ptsd moment, I'll never eat salad as well!",,,,sitejabber,Canada,9,5,,,
Punitive treatment for 'account security'' verification,https://www.sitejabber.com/reviews/costco.com#2406,0,2023,December,"Just got off phone with verification dept after placing a $39 order online. Someone in June used my costco (not credit) card number to place an order. Costco cancelled my order because of the 2 names and addresses. They made me verify questions you'd normally get for a credit card approval. After getting all that info, they told me I'd have to email their 'prevention office' for any future orders. Sounds like more of a hack of my personal info. Beware of Costco dot com. Spent over an hour between chat and verifying phone calls while they explained they were protecting their customers. Harassment. There was no fraud just a bad Costco #. I will be writing to their corporate office. Stay away from them.","Date of experience: December 8, 2023",2023.0,December,sitejabber,Vermont,1,1,2023-12-08,December,2023.0
Product Damaged-Terrible Customer Service,https://www.sitejabber.com/reviews/costco.com#1284,0,2020,May,"I made an order on 5/20/20 and the order arrived incomplete 5 days later. I tried to contact customer service but the waiting time was 2 hours, but I thought that since there were 2 packages, perhaps the other would arrive in a few days. Seeing that it did not arrive, I saw the status in Fedex and it appeared that the package had arrived damaged and was returned. I thought Costco was going to send me the package again but to my surprise after waiting more than an hour to chat with a representative, he told me that they did not know anything and thank goodness I called. Terrible consumer service.",,,,sitejabber,Florida,1,7,,,
Wonderful Big Box store,https://www.sitejabber.com/reviews/costco.com#875,0,2017,January,,"Date of experience: January 28, 2017",2017.0,January,sitejabber,Texas,7,12,2017-01-28,January,2017.0
Wait times over 45 minutes to close my account. Horrible Service,https://www.sitejabber.com/reviews/costco.com#1345,0,2020,December,,"Date of experience: December 10, 2020",2020.0,December,sitejabber,Texas,2,5,2020-12-10,December,2020.0
Awesome for most things,https://www.sitejabber.com/reviews/costco.com#1038,0,2018,April,"Love having one nearby to my work and I get gas there almost exclusively - always cheaper than anywhere else! Can't shop for everything there, but once I find out what I actually use a lot of, can save some good money by buying in bulk and Kirkland products are great quality as well. The best is the guacamole small 80-calorie packs! Vegetables and fruits are a little more expensive and go bad fairly quickly, Sprouts is better for that.","Date of experience: April 5, 2018",2018.0,April,sitejabber,Virginia,3,6,2018-04-05,April,2018.0
Good Riddance,https://www.sitejabber.com/reviews/costco.com#779,0,2016,October,,"Date of experience: October 10, 2016",2016.0,October,sitejabber,California,9,5,2016-10-10,October,2016.0
Can't beat this store,https://www.sitejabber.com/reviews/costco.com#792,0,2016,November,,"Date of experience: October 30, 2016",2016.0,October,sitejabber,Arizona,16,13,2016-10-30,October,2016.0
Good bulk buys,https://www.sitejabber.com/reviews/costco.com#420,0,2016,January,,"Date of experience: January 25, 2016",2016.0,January,sitejabber,New York,19,18,2016-01-25,January,2016.0
Nice customer service!,https://www.sitejabber.com/reviews/costco.com#472,0,2016,March,,"Date of experience: March 2, 2016",2016.0,March,sitejabber,Oregon,5,4,2016-03-02,March,2016.0
Great store,https://www.sitejabber.com/reviews/costco.com#138,0,2015,March,,"Date of experience: March 26, 2015",2015.0,March,sitejabber,GB,5,9,2015-03-26,March,2015.0
I bought a self supporting clothes line (kind of an...,https://www.sitejabber.com/reviews/costco.com#37,0,2013,December,"I bought a self supporting clothes line (kind of an inverted umbrella on a stand) from Costco's wholesale website. The site was easy to use and entering keywords brought up a good selection including comprehensive details and specification.
I had no real trouble with navigating the checkout procedure though I'm relatively new to on-line shopping. Their prices were significantly lower than other on-line outlets. The product arrived on schedule and I was notified at each step of the shipping process.
I have not had any reason to purchase anything from Costco since August, but I have no reservations about doing so in the future. Though there is always room for improvement, my experience was very positive.","Date of experience: December 15, 2013",2013.0,December,sitejabber,Indiana,1,2,2013-12-15,December,2013.0
You would not buy from Costco.com for 4 reasons,https://www.sitejabber.com/reviews/costco.com#1280,0,2020,May,,"Date of experience: May 22, 2020",2020.0,May,sitejabber,California,1,7,2020-05-22,May,2020.0
"Rude staff, poor prices",https://www.sitejabber.com/reviews/costco.com#2008,0,2023,March,Started going here a few months ago…. Surprised that despite having to pay expensive member fees and buying huge portions many products are more expensive than other stores per weight. More annoying is having staff yell at you to see your membership card just because I walked past while they were busy socializing and chatting instead of working. Sucks to pay membership fees just to get harassed by their employees (out of 6-7 shopping trips I have had 3 separate employees harass me which is something I never experience at normal stores). Wish I could refund the membership as I won't be shopping there anymore.,"Date of experience: March 16, 2023",2023.0,March,sitejabber,Washington,1,0,2023-03-16,March,2023.0
Good deals,https://www.sitejabber.com/reviews/costco.com#198,0,2015,June,,"Date of experience: June 6, 2015",2015.0,June,sitejabber,California,10,28,2015-06-06,June,2015.0
